nose_x,nose_y,nose_z,leftEyeInner_x,leftEyeInner_y,leftEyeInner_z,leftEye_x,leftEye_y,leftEye_z,leftEyeOuter_x,leftEyeOuter_y,leftEyeOuter_z,rightEyeInner_x,rightEyeInner_y,rightEyeInner_z,rightEye_x,rightEye_y,rightEye_z,rightEyeOuter_x,rightEyeOuter_y,rightEyeOuter_z,leftEar_x,leftEar_y,leftEar_z,rightEar_x,rightEar_y,rightEar_z,leftMouth_x,leftMouth_y,leftMouth_z,rightMouth_x,rightMouth_y,rightMouth_z,leftShoulder_x,leftShoulder_y,leftShoulder_z,rightShoulder_x,rightShoulder_y,rightShoulder_z,leftElbow_x,leftElbow_y,leftElbow_z,rightElbow_x,rightElbow_y,rightElbow_z,leftWrist_x,leftWrist_y,leftWrist_z,rightWrist_x,rightWrist_y,rightWrist_z,leftPinky_x,leftPinky_y,leftPinky_z,rightPinky_x,rightPinky_y,rightPinky_z,leftIndex_x,leftIndex_y,leftIndex_z,rightIndex_x,rightIndex_y,rightIndex_z,leftThumb_x,leftThumb_y,leftThumb_z,rightThumb_x,rightThumb_y,rightThumb_z,leftHip_x,leftHip_y,leftHip_z,rightHip_x,rightHip_y,rightHip_z,leftKnee_x,leftKnee_y,leftKnee_z,rightKnee_x,rightKnee_y,rightKnee_z,leftAnkle_x,leftAnkle_y,leftAnkle_z,rightAnkle_x,rightAnkle_y,rightAnkle_z,leftHeel_x,leftHeel_y,leftHeel_z,rightHeel_x,rightHeel_y,rightHeel_z,leftFootIndex_x,leftFootIndex_y,leftFootIndex_z,rightFootIndex_x,rightFootIndex_y,rightFootIndex_z,position
380.5372619628906,175.43896484375,-82.60636138916016,395.3619079589844,155.2764129638672,-56.6928596496582,398.3846435546875,157.03079223632812,-56.9191780090332,400.8446044921875,158.478271484375,-56.6928596496582,380.053955078125,142.23731994628906,-112.48043823242188,374.17218017578125,137.34423828125,-112.9330825805664,368.01654052734375,131.9818878173828,-112.53702545166016,378.06024169921875,147.8582763671875,100.25923156738281,332.4146423339844,121.78520202636719,-145.5229949951172,369.90216064453125,191.18319702148438,-13.126490592956543,354.38238525390625,182.05581665039062,-86.05772399902344,272.6445617675781,229.6898193359375,288.7828063964844,264.1240539550781,200.11502075195312,-264.3403625488281,268.711669921875,412.86279296875,431.3636169433594,294.94757080078125,367.3243713378906,-291.0459899902344,316.4512939453125,576.7212524414062,392.6631164550781,389.5617980957031,569.7576904296875,-208.2133026123047,336.5492248535156,627.341064453125,387.68414306640625,399.55413818359375,606.8326416015625,-231.52413940429688,335.2701110839844,606.6275024414062,342.87298583984375,405.8952941894531,606.6619873046875,-235.82418823242188,313.27813720703125,596.5794677734375,368.899658203125,401.92633056640625,583.6832885742188,-203.57376098632812,245.37066650390625,610.0361328125,165.5522003173828,266.99652099609375,607.9080200195312,-165.0995635986328,227.9888153076172,887.27587890625,251.66650390625,299.74798583984375,926.0416259765625,-136.47023010253906,187.24488830566406,1110.2467041015625,339.02557373046875,275.4016418457031,1212.3223876953125,-162.9495391845703,154.67916870117188,1136.01953125,340.83612060546875,226.49220275878906,1247.8211669921875,-163.8548126220703,237.9595184326172,1180.68310546875,262.7561340332031,376.8491516113281,1290.678466796875,-284.7090759277344,1.0
379.5505065917969,182.5878143310547,20.918840408325195,389.5113525390625,160.44094848632812,35.6315803527832,391.0989074707031,162.02777099609375,35.899085998535156,392.3256530761719,163.23348999023438,36.16659164428711,377.52435302734375,150.57411193847656,-15.836257934570312,371.87548828125,145.61546325683594,-15.889759063720703,366.0927429199219,140.76499938964844,-15.568753242492676,371.1812438964844,158.8935089111328,149.58843994140625,335.0470886230469,134.50009155273438,-78.91378784179688,365.8769226074219,201.54205322265625,73.93820190429688,352.2651672363281,192.09571838378906,6.741109371185303,278.16424560546875,251.60610961914062,293.8267822265625,254.5698699951172,213.36611938476562,-198.06021118164062,239.51193237304688,425.6607666015625,392.48236083984375,280.3688659667969,388.3882141113281,-241.39593505859375,287.7684020996094,593.8934936523438,323.3592529296875,337.7309265136719,562.3228149414062,-175.6968536376953,306.3109130859375,644.595458984375,317.3671569824219,352.7469482421875,597.1690063476562,-199.0232391357422,308.2398986816406,643.8370361328125,279.488525390625,357.41015625,598.44189453125,-203.94532775878906,308.1339416503906,620.9448852539062,302.8149108886719,356.47552490234375,591.4696044921875,-171.8448028564453,252.27757263183594,612.6717529296875,141.88430786132812,237.54127502441406,605.6310424804688,-141.99130249023438,260.9307861328125,890.5523071289062,218.6045684814453,258.3136291503906,900.7601928710938,-116.3108901977539,231.17889404296875,1134.78564453125,298.32086181640625,239.46810913085938,1158.053466796875,-71.47716522216797,186.99288940429688,1155.302490234375,298.32086181640625,214.432373046875,1192.423583984375,-69.12312316894531,268.2541809082031,1194.28759765625,178.69290161132812,322.51287841796875,1251.144775390625,-214.00347900390625,1.0
376.5870361328125,186.90127563476562,-266.1743469238281,385.9693603515625,164.86534118652344,-237.95648193359375,389.90478515625,166.75579833984375,-237.7458953857422,392.4195861816406,168.30960083007812,-237.7458953857422,370.87689208984375,153.83639526367188,-291.23345947265625,361.1611328125,148.52745056152344,-291.23345947265625,354.2786560058594,143.6639404296875,-291.23345947265625,374.34942626953125,165.97171020507812,-47.17013931274414,325.6665954589844,137.69696044921875,-278.8092041015625,367.36651611328125,207.09088134765625,-184.25836181640625,348.7501525878906,195.97640991210938,-252.27598571777344,323.20654296875,271.0043029785156,201.21011352539062,247.7374267578125,226.92013549804688,-339.877685546875,315.1179504394531,445.37371826171875,327.66400146484375,266.3515319824219,420.478759765625,-334.8237609863281,360.6829528808594,585.0523071289062,169.9388427734375,331.31878662109375,589.638427734375,-312.9233093261719,381.9033508300781,624.0979614257812,143.19505310058594,340.38885498046875,623.3444213867188,-350.6173095703125,381.2388000488281,619.665283203125,96.23550415039062,358.64044189453125,621.558349609375,-371.0436706542969,363.20904541015625,608.4887084960938,142.77389526367188,354.44061279296875,612.7091674804688,-315.02911376953125,298.5078430175781,609.905029296875,162.88438415527344,257.64837646484375,594.3705444335938,-162.7790985107422,274.1371765136719,867.5464477539062,281.336181640625,277.2825012207031,882.030029296875,-132.98187255859375,225.82232666015625,1098.441650390625,309.55401611328125,260.6003112792969,1136.1748046875,-121.50521850585938,194.57479858398438,1137.4134521484375,304.07891845703125,235.92543029785156,1176.6002197265625,-122.136962890625,305.588134765625,1174.1685791015625,187.41705322265625,383.5286865234375,1233.62939453125,-270.8070983886719,1.0
392.1551513671875,167.14083862304688,-193.9002227783203,404.9049072265625,148.65847778320312,-161.5160675048828,408.3636169433594,151.67605590820312,-161.3136444091797,411.3272705078125,154.32095336914062,-161.41485595703125,387.5871887207031,134.61361694335938,-214.1403350830078,379.3555908203125,129.08871459960938,-213.93792724609375,369.5299072265625,123.27079772949219,-213.93792724609375,391.71490478515625,150.0084228515625,36.12858963012695,341.76873779296875,120.04348754882812,-195.01344299316406,380.5943908691406,190.75686645507812,-111.62418365478516,362.04962158203125,176.48846435546875,-179.63095092773438,329.9302673339844,257.88726806640625,263.52618408203125,259.54156494140625,204.86778259277344,-264.9429931640625,305.540283203125,441.11212158203125,366.9531555175781,265.5199279785156,393.9812927246094,-278.09906005859375,362.05694580078125,590.912353515625,200.37705993652344,364.3889465332031,574.3435668945312,-257.45416259765625,377.98883056640625,633.2763061523438,169.61209106445312,367.3678894042969,616.9931030273438,-297.7319641113281,380.70831298828125,627.7219848632812,116.5830078125,374.2182922363281,614.72314453125,-319.3888854980469,378.27923583984375,616.4360961914062,170.6240997314453,370.9859313964844,596.1715087890625,-260.49017333984375,304.834716796875,587.0836791992188,167.99288940429688,268.8771057128906,569.26318359375,-168.19528198242188,293.576416015625,840.0415649414062,224.2603759765625,315.75543212890625,855.4156494140625,-183.37538146972656,232.1473846435547,1095.763671875,224.2603759765625,284.8721923828125,1147.5933837890625,-232.35641479492188,196.0773162841797,1126.372314453125,215.75953674316406,256.8801574707031,1191.815673828125,-240.04766845703125,308.4803161621094,1174.48291015625,80.35322570800781,387.0277404785156,1237.368408203125,-417.75579833984375,1.0
391.4292297363281,169.54434204101562,-215.11376953125,401.88433837890625,149.40121459960938,-183.59019470214844,405.6216735839844,151.47952270507812,-183.59019470214844,408.8507385253906,153.31954956054688,-183.49105834960938,384.9222412109375,140.41903686523438,-241.08602905273438,376.58746337890625,136.21299743652344,-241.8790740966797,367.21270751953125,131.95513916015625,-241.48255920410156,390.3912658691406,155.7019805908203,9.714815139770508,341.74853515625,130.74969482421875,-244.2582244873047,385.0127868652344,193.09425354003906,-134.12393188476562,364.9582214355469,181.343994140625,-208.3728790283203,323.7669677734375,265.26116943359375,247.82693481445312,282.0098876953125,220.37509155273438,-342.595947265625,320.678955078125,446.4436340332031,371.1455993652344,323.2386169433594,417.13897705078125,-332.08807373046875,382.84320068359375,600.3193359375,235.9312286376953,406.6667175292969,585.9363403320312,-239.49993896484375,403.34588623046875,652.7388916015625,210.75201416015625,415.04400634765625,619.594482421875,-272.4113464355469,401.1568908691406,643.3201904296875,161.7814178466797,426.9062194824219,623.99560546875,-287.4792175292969,384.4288635253906,629.0339965820312,206.78677368164062,419.97552490234375,602.24267578125,-237.91384887695312,333.6123352050781,611.0662841796875,188.7449951171875,306.5034484863281,593.7035522460938,-188.54672241210938,344.3031005859375,858.491455078125,236.72427368164062,323.1253356933594,892.2332763671875,-178.9310302734375,294.81170654296875,1088.2139892578125,365.5942687988281,287.4360046386719,1171.8958740234375,-159.79879760742188,252.2268524169922,1106.414794921875,372.33514404296875,255.64967346191406,1216.7152099609375,-160.1953125,391.08673095703125,1131.3282470703125,277.9626770019531,410.11077880859375,1246.7435302734375,-322.5715026855469,1.0
383.5300598144531,182.61451721191406,-181.3693389892578,392.3355407714844,160.67169189453125,-151.6011199951172,395.9986877441406,162.4456787109375,-152.19253540039062,399.2276306152344,164.10870361328125,-152.19253540039062,374.6212158203125,152.58514404296875,-207.5890350341797,366.1919860839844,147.46182250976562,-207.3918914794922,357.68304443359375,143.8719482421875,-207.5890350341797,381.8131103515625,166.44622802734375,34.00674819946289,332.270751953125,142.02674865722656,-209.36329650878906,378.7323303222656,205.45947265625,-102.90737915039062,358.7346496582031,193.00662231445312,-174.1737060546875,330.6959533691406,281.3404541015625,270.47686767578125,274.2070007324219,231.7034912109375,-306.7507629394531,331.023193359375,461.4733581542969,389.944091796875,324.5754699707031,419.54034423828125,-304.18792724609375,376.5239562988281,612.1776123046875,258.254150390625,392.43182373046875,583.966552734375,-234.79443359375,393.6177062988281,653.0126953125,234.40016174316406,400.7872619628906,619.7028198242188,-268.8997497558594,391.78875732421875,654.1290283203125,186.2978515625,411.06787109375,624.802734375,-288.8109436035156,387.4760437011719,641.8157348632812,229.86590576171875,399.9298095703125,601.6129150390625,-235.78013610839844,323.4073791503906,613.8271484375,184.81930541992188,289.91156005859375,601.541015625,-184.91786193847656,337.111328125,860.2579345703125,218.4317626953125,318.6626892089844,892.52099609375,-180.18649291992188,298.6066589355469,1101.1131591796875,302.8079528808594,288.8305358886719,1178.7567138671875,-201.67481994628906,260.4291076660156,1147.8626708984375,303.0050964355469,260.96429443359375,1225.7005615234375,-206.60333251953125,395.5494384765625,1154.932373046875,189.9449462890625,415.234375,1249.189208984375,-386.59271240234375,1.0
390.474609375,188.0894775390625,-223.57171630859375,399.18951416015625,164.18597412109375,-189.2290496826172,402.413330078125,165.4693603515625,-189.32745361328125,405.3526306152344,166.62612915039062,-189.2290496826172,382.9866027832031,155.38894653320312,-246.9916229248047,373.6548156738281,151.38687133789062,-247.1884307861328,365.009033203125,147.13314819335938,-247.38523864746094,386.18017578125,168.3250732421875,16.63011360168457,335.72271728515625,144.48992919921875,-239.51300048828125,383.4046630859375,210.18948364257812,-138.748291015625,364.85784912109375,199.34283447265625,-213.53460693359375,330.1943359375,275.53515625,256.6351318359375,272.5582275390625,233.41140747070312,-327.0917053222656,329.078369140625,460.6709289550781,360.1551513671875,313.5693359375,427.0755310058594,-340.0809020996094,371.97637939453125,599.7996826171875,204.67831420898438,381.2392272949219,576.5264892578125,-287.92730712890625,389.1978759765625,651.51220703125,174.37017822265625,391.00128173828125,621.5599975585938,-330.2406005859375,389.0227355957031,639.6585083007812,125.95589447021484,402.0840759277344,623.1132202148438,-345.985107421875,384.8642578125,626.6892700195312,175.35421752929688,393.5328369140625,601.2640991210938,-288.71453857421875,329.4230651855469,614.177734375,189.4258575439453,291.0086975097656,604.8125,-189.72105407714844,345.6937561035156,862.8819580078125,240.10340881347656,331.762939453125,889.7381591796875,-171.9101104736328,311.306640625,1105.38330078125,327.4853210449219,286.9837341308594,1164.96923828125,-152.32791137695312,272.1202392578125,1153.2996826171875,327.0917053222656,259.09857177734375,1214.0050048828125,-154.29595947265625,408.6661682128906,1160.99609375,204.08790588378906,407.8963623046875,1239.41943359375,-336.144775390625,1.0
391.3711242675781,189.5848846435547,-207.9429168701172,398.5133361816406,166.78138732910156,-181.5343475341797,401.2920227050781,167.91644287109375,-181.5343475341797,403.60107421875,168.92245483398438,-181.5343475341797,384.3117980957031,160.39569091796875,-240.806884765625,375.59063720703125,155.67291259765625,-240.6112518310547,368.1432800292969,152.3798828125,-241.0024871826172,378.55731201171875,165.68936157226562,-10.710135459899902,340.8789978027344,151.05831909179688,-272.49713134765625,382.7835388183594,211.65077209472656,-134.78143310546875,366.85302734375,202.2046661376953,-211.26841735839844,315.94073486328125,273.7496337890625,221.2449951171875,278.1568908691406,240.90283203125,-371.4803161621094,317.88763427734375,462.487548828125,322.5755920410156,297.9723205566406,442.8251647949219,-393.3896484375,362.05853271484375,600.6737060546875,187.40292358398438,367.84881591796875,594.5957641601562,-335.4864196777344,369.4021911621094,653.6453247070312,165.2979736328125,379.8429260253906,640.3338012695312,-375.783935546875,383.2102355957031,650.4415893554688,117.56696319580078,392.5172424316406,634.57080078125,-383.8042907714844,367.9152526855469,627.9287719726562,159.42941284179688,383.87353515625,623.68603515625,-332.9433898925781,319.12689208984375,614.0830078125,192.39120483398438,293.14410400390625,605.7376098632812,-192.8802490234375,344.009521484375,855.1248779296875,228.09164428710938,333.0589904785156,892.7708740234375,-178.89349365234375,311.3939514160156,1099.42138671875,369.9153747558594,287.9891662597656,1166.2236328125,-118.54505920410156,272.7003479003906,1144.402099609375,375.3927001953125,257.3351745605469,1217.4725341796875,-116.9801025390625,396.38616943359375,1150.7178955078125,272.301513671875,413.1682434082031,1241.145263671875,-279.5394287109375,1.0
394.7816467285156,193.76327514648438,-177.84532165527344,399.47833251953125,170.6494903564453,-152.30062866210938,401.3049011230469,171.72442626953125,-152.494140625,402.8699035644531,172.59292602539062,-152.494140625,387.9798278808594,164.11862182617188,-212.4854736328125,381.4452209472656,159.27044677734375,-212.87252807617188,374.8087158203125,155.9486083984375,-212.87252807617188,380.7695617675781,170.39645385742188,9.385744094848633,347.2251281738281,156.365478515625,-257.188720703125,385.13604736328125,211.90188598632812,-108.85527801513672,372.5837707519531,205.8189697265625,-186.5537567138672,314.5398254394531,275.3939514160156,229.32176208496094,286.20965576171875,242.19619750976562,-365.947265625,319.8948059082031,456.2669372558594,309.2457275390625,302.44488525390625,444.5538330078125,-395.1688232421875,365.3923034667969,612.4484252929688,163.91184997558594,374.4631042480469,605.8490600585938,-335.3710021972656,382.14166259765625,653.421875,141.656982421875,390.86944580078125,643.562255859375,-375.8168029785156,384.8533935546875,651.1517944335938,96.37319946289062,398.0657958984375,645.533935546875,-379.68719482421875,370.8398132324219,629.270751953125,137.7865753173828,394.34991455078125,628.5611572265625,-330.9200134277344,323.4559326171875,613.9873657226562,195.6492156982422,311.6630859375,605.7596435546875,-195.84274291992188,341.8761901855469,853.7359008789062,219.83926391601562,330.38726806640625,889.8986206054688,-187.9084014892578,298.3650817871094,1099.281494140625,388.20208740234375,288.2813720703125,1165.8519287109375,-118.82157135009766,271.622314453125,1139.4677734375,395.9429016113281,260.8888244628906,1215.103759765625,-117.07989501953125,396.3892517089844,1143.6700439453125,293.3770446777344,413.6651306152344,1236.563232421875,-282.7333984375,1.0
392.71160888671875,211.53079223632812,-165.40428161621094,401.1466369628906,189.6241455078125,-138.9242401123047,404.1254577636719,190.53871154785156,-139.0201873779297,406.71685791015625,191.14535522460938,-139.21206665039062,386.8487548828125,182.60108947753906,-196.1057586669922,379.4435729980469,178.5118865966797,-195.9138946533203,370.67266845703125,174.26699829101562,-196.2976531982422,386.82080078125,190.0409698486328,28.063081741333008,344.9696350097656,168.48452758789062,-225.4640655517578,385.3761291503906,232.81219482421875,-94.64693450927734,368.8125,223.6577606201172,-168.2825469970703,324.7582702636719,300.3414611816406,242.92555236816406,281.7801208496094,253.97311401367188,-323.5169677734375,323.91046142578125,472.0455322265625,329.8491516113281,302.4398498535156,448.5200500488281,-344.6242370605469,369.13922119140625,613.1173095703125,188.23849487304688,373.546875,595.90625,-294.35052490234375,388.1243591308594,655.54443359375,165.59616088867188,387.0310974121094,642.3853759765625,-332.7273864746094,386.39666748046875,654.5230712890625,118.96827697753906,398.2308044433594,643.767822265625,-344.6242370605469,371.3409423828125,633.1351318359375,161.75848388671875,392.8221130371094,625.8853149414062,-293.9667663574219,320.91363525390625,621.0192260742188,180.9468994140625,297.02557373046875,611.582763671875,-180.85096740722656,336.4158630371094,862.5213623046875,204.16490173339844,317.7847900390625,893.5391235351562,-180.56314086914062,298.2280578613281,1112.482177734375,326.9708557128906,288.1111755371094,1176.47412109375,-153.89122009277344,260.3204345703125,1143.7847900390625,330.8085632324219,263.5107421875,1224.2005615234375,-155.0425262451172,389.56134033203125,1147.7994384765625,222.3939208984375,408.6050109863281,1234.6217041015625,-321.98187255859375,1.0
